2019-11-18 12:56:57,507 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:56:57 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:57:00,088 INFO     Connection established with ('127.0.0.1', 59183)
2019-11-18 12:57:00 INFO     Connection established with ('127.0.0.1', 59183)
2019-11-18 12:57:03,608 INFO     Connection established with ('127.0.0.1', 59190)
2019-11-18 12:57:03 INFO     Connection established with ('127.0.0.1', 59190)
2019-11-18 12:57:06,274 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59190)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:57:06 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59190)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:57:07,138 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59183)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:57:07 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59183)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:58:46,102 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:58:46 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:58:49,126 INFO     Connection established with ('127.0.0.1', 59546)
2019-11-18 12:58:49 INFO     Connection established with ('127.0.0.1', 59546)
2019-11-18 12:58:53,046 INFO     Connection established with ('127.0.0.1', 59556)
